id,position,question,answer_coordinates,answer_text
157665475c184f3396a24ca916278a02,11,products with viscosity higher than 5,"['(0, 2)', '(1, 2)', '(2, 2)', '(3, 2)', '(4, 2)', '(6, 2)', '(7, 2)', '(8, 2)', '(9, 2)', '(10, 2)', '(11, 2)']","[""'XL-702  '"", ""'Silres MP 42E  '"", ""' Plextol DV 585 '"", ""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""' Plextol DV 455 '"", ""'Ser-AD FA379  '"", ""'Surfaron A1408 A75  '"", ""'Ser-AD FA179  '"", ""' Plextol R 5530 '"", ""'XL-732   '""]"
5f64966715e446fcb9621e2c83792d30,12,products with density bigger than 3,"['(1, 2)', '(2, 2)', '(6, 2)', '(7, 2)', '(9, 2)']","[""'Silres MP 42E  '"", ""' Plextol DV 585 '"", ""' Plextol DV 455 '"", ""'Ser-AD FA379  '"", ""'Ser-AD FA179  '""]"
c4a648aa8ac2467eb54c8d43870a0e42,13,products with density bigger than 25,"['(2, 2)', '(6, 2)']","[""' Plextol DV 585 '"", ""' Plextol DV 455 '""]"
51b49e9695974790ac05b0e58dea4575,14,products with density higher than 2,"['(0, 2)', '(1, 2)', '(2, 2)', '(6, 2)', '(7, 2)', '(9, 2)', '(11, 2)']","[""'XL-702  '"", ""'Silres MP 42E  '"", ""' Plextol DV 585 '"", ""' Plextol DV 455 '"", ""'Ser-AD FA379  '"", ""'Ser-AD FA179  '"", ""'XL-732   '""]"
76a43f6495ca405bbbeddc5667e9c70f,15,products with density more than 106,"['(2, 2)']","[""' Plextol DV 585 '""]"
9962c300510e4c868afcda0281440226,16,products with density greater than 20,"['(1, 2)', '(2, 2)', '(6, 2)']","[""'Silres MP 42E  '"", ""' Plextol DV 585 '"", ""' Plextol DV 455 '""]"
92e94042e1fb481381ea7e6335b324fe,17,products with density higher than 20,"['(1, 2)', '(2, 2)', '(6, 2)']","[""'Silres MP 42E  '"", ""' Plextol DV 585 '"", ""' Plextol DV 455 '""]"
5ed46ada31c1416ba62e99b347a59591,18,products with density larger than 3,"['(1, 2)', '(2, 2)', '(6, 2)', '(7, 2)', '(9, 2)']","[""'Silres MP 42E  '"", ""' Plextol DV 585 '"", ""' Plextol DV 455 '"", ""'Ser-AD FA379  '"", ""'Ser-AD FA179  '""]"
94286f175b7c4505811b9d7e2278253e,19,products with viscosity smaller than 70,"['(1, 2)', '(3, 2)', '(4, 2)', '(5, 2)', '(7, 2)', '(9, 2)', '(12, 2)']","[""'Silres MP 42E  '"", ""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""'Ser-AD FA379  '"", ""'Ser-AD FA179  '"", ""'Silquest TEOS Pure  '""]"
971a01e008f145f983e5794aef0a5a9e,20,products with viscosity lower than 51,"['(3, 2)', '(4, 2)', '(5, 2)', '(7, 2)', '(9, 2)', '(12, 2)']","[""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""'Ser-AD FA379  '"", ""'Ser-AD FA179  '"", ""'Silquest TEOS Pure  '""]"
6587a6217b6a4650b9df8e473a226726,21,products with viscosity smaller than 1000,"['(0, 2)', '(1, 2)', '(3, 2)', '(4, 2)', '(5, 2)', '(6, 2)', '(7, 2)', '(8, 2)', '(9, 2)', '(10, 2)', '(11, 2)', '(12, 2)']","[""'XL-702  '"", ""'Silres MP 42E  '"", ""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""' Plextol DV 455 '"", ""'Ser-AD FA379  '"", ""'Surfaron A1408 A75  '"", ""'Ser-AD FA179  '"", ""' Plextol R 5530 '"", ""'XL-732   '"", ""'Silquest TEOS Pure  '""]"
04790dd3cae748c188f23c1b98d0902d,22,products with viscosity smaller than 50,"['(4, 2)', '(5, 2)', '(7, 2)', '(9, 2)', '(12, 2)']","[""'Tecseal E799-35  '"", ""'XCA02  '"", ""'Ser-AD FA379  '"", ""'Ser-AD FA179  '"", ""'Silquest TEOS Pure  '""]"
b4fb1c4314b54a358c08e370d72514be,23,products with viscosity lesser than 20,"['(5, 2)', '(12, 2)']","[""'XCA02  '"", ""'Silquest TEOS Pure  '""]"
e9dde8d2359041dabd9f01faea30167a,24,products with viscosity smaller than 500,"['(0, 2)', '(1, 2)', '(3, 2)', '(4, 2)', '(5, 2)', '(7, 2)', '(8, 2)', '(9, 2)', '(12, 2)']","[""'XL-702  '"", ""'Silres MP 42E  '"", ""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""'Ser-AD FA379  '"", ""'Surfaron A1408 A75  '"", ""'Ser-AD FA179  '"", ""'Silquest TEOS Pure  '""]"
ea9474ef472642278e2bd89bcc21c3ab,25,products with viscosity lower than 20,"['(5, 2)', '(12, 2)']","[""'XCA02  '"", ""'Silquest TEOS Pure  '""]"
b6d6fdbd6242411fb2b25f88ca564736,26,products with viscosity lower than 150,"['(0, 2)', '(1, 2)', '(3, 2)', '(4, 2)', '(5, 2)', '(7, 2)', '(9, 2)', '(12, 2)']","[""'XL-702  '"", ""'Silres MP 42E  '"", ""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""'Ser-AD FA379  '"", ""'Ser-AD FA179  '"", ""'Silquest TEOS Pure  '""]"
3a4dd396d539409396688b781ef95c8d,27,products with viscosity smaller than 20,"['(5, 2)', '(12, 2)']","[""'XCA02  '"", ""'Silquest TEOS Pure  '""]"
b6b6492463e541daac12034780894ea9,28,products with viscosity smaller than 725,"['(0, 2)', '(1, 2)', '(3, 2)', '(4, 2)', '(5, 2)', '(6, 2)', '(7, 2)', '(8, 2)', '(9, 2)', '(11, 2)', '(12, 2)']","[""'XL-702  '"", ""'Silres MP 42E  '"", ""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""' Plextol DV 455 '"", ""'Ser-AD FA379  '"", ""'Surfaron A1408 A75  '"", ""'Ser-AD FA179  '"", ""'XL-732   '"", ""'Silquest TEOS Pure  '""]"
0128ff842dbe45978e985ea43fea4aae,29,products with viscosity lower than 500,"['(0, 2)', '(1, 2)', '(3, 2)', '(4, 2)', '(5, 2)', '(7, 2)', '(8, 2)', '(9, 2)', '(12, 2)']","[""'XL-702  '"", ""'Silres MP 42E  '"", ""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""'Ser-AD FA379  '"", ""'Surfaron A1408 A75  '"", ""'Ser-AD FA179  '"", ""'Silquest TEOS Pure  '""]"
3737fd4bf6b24f958b8c736cd0ca1710,30,products with viscosity lesser than 5,"['(5, 2)']","[""'XCA02  '""]"
6139e696484d4459a5c4082fd07d53b6,31,products with density lower than 3,"['(3, 2)', '(4, 2)', '(5, 2)', '(8, 2)', '(10, 2)', '(12, 2)']","[""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""'Surfaron A1408 A75  '"", ""' Plextol R 5530 '"", ""'Silquest TEOS Pure  '""]"
c77d7959fdce42a68bebb843e5e9df5d,32,products with density smaller than 25,"['(0, 2)', '(3, 2)', '(4, 2)', '(5, 2)', '(7, 2)', '(8, 2)', '(9, 2)', '(10, 2)', '(11, 2)', '(12, 2)']","[""'XL-702  '"", ""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""'Ser-AD FA379  '"", ""'Surfaron A1408 A75  '"", ""'Ser-AD FA179  '"", ""' Plextol R 5530 '"", ""'XL-732   '"", ""'Silquest TEOS Pure  '""]"
d103e3805e914ff88a2d2baa68c1d554,33,products with density smaller than 108,"['(0, 2)', '(1, 2)', '(3, 2)', '(4, 2)', '(5, 2)', '(6, 2)', '(7, 2)', '(8, 2)', '(9, 2)', '(10, 2)', '(11, 2)', '(12, 2)']","[""'XL-702  '"", ""'Silres MP 42E  '"", ""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""' Plextol DV 455 '"", ""'Ser-AD FA379  '"", ""'Surfaron A1408 A75  '"", ""'Ser-AD FA179  '"", ""' Plextol R 5530 '"", ""'XL-732   '"", ""'Silquest TEOS Pure  '""]"
103193eaf1724777b2a922a15fe1d506,34,products with density smaller than 2,"['(3, 2)', '(4, 2)', '(8, 2)', '(10, 2)', '(12, 2)']","[""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'Surfaron A1408 A75  '"", ""' Plextol R 5530 '"", ""'Silquest TEOS Pure  '""]"
cf7790d48813485298bccae8ed5b51b8,35,products with density lesser than 106,"['(0, 2)', '(1, 2)', '(3, 2)', '(4, 2)', '(5, 2)', '(7, 2)', '(8, 2)', '(9, 2)', '(10, 2)', '(11, 2)', '(12, 2)']","[""'XL-702  '"", ""'Silres MP 42E  '"", ""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""'Ser-AD FA379  '"", ""'Surfaron A1408 A75  '"", ""'Ser-AD FA179  '"", ""' Plextol R 5530 '"", ""'XL-732   '"", ""'Silquest TEOS Pure  '""]"
0543ed27839a420ea08e2d5d6185ad77,36,products with density smaller than 20,"['(0, 2)', '(3, 2)', '(4, 2)', '(5, 2)', '(8, 2)', '(10, 2)', '(11, 2)', '(12, 2)']","[""'XL-702  '"", ""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""'Surfaron A1408 A75  '"", ""' Plextol R 5530 '"", ""'XL-732   '"", ""'Silquest TEOS Pure  '""]"
c0191e34ce224b03b14fbf1c541a0da7,37,products with density smaller than 20,"['(0, 2)', '(3, 2)', '(4, 2)', '(5, 2)', '(8, 2)', '(10, 2)', '(11, 2)', '(12, 2)']","[""'XL-702  '"", ""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""'Surfaron A1408 A75  '"", ""' Plextol R 5530 '"", ""'XL-732   '"", ""'Silquest TEOS Pure  '""]"
4b22d6a9b8e9425bbfc98ed34532c034,38,products with density lesser than 3,"['(3, 2)', '(4, 2)', '(5, 2)', '(8, 2)', '(10, 2)', '(12, 2)']","[""'Unithane IC-355 NF  '"", ""'Tecseal E799-35  '"", ""'XCA02  '"", ""'Surfaron A1408 A75  '"", ""' Plextol R 5530 '"", ""'Silquest TEOS Pure  '""]"
35bff9df85654360ae19d7f258f6be64,39,what is the viscosity of XL-702  ,"['(0, 0)']","[""'70'""]"
6087058a45cc4a1ab02df1c82969b73b,40,what is the viscosity of Silres MP 42E  ,"['(1, 0)']","[""'51'""]"
e0059c74a5ef49589024259eeaaab982,41,what is the viscosity of  Plextol DV 585 ,"['(2, 0)']","[""'1000'""]"
c3c9ca8bfb0443419c8438a5bdeb4c88,42,what is the viscosity of Unithane IC-355 NF  ,"['(3, 0)']","[""'50'""]"
beaa6e766e4e4743814f1c7ee897d6de,43,what is the viscosity of Tecseal E799-35  ,"['(4, 0)']","[""'20'""]"
737a67060aa540ab8287174d7685fae2,44,what is the viscosity of XCA02  ,"['(5, 0)']","[""'0'""]"
bb3dedc6a8aa403c80942bd85fbd7fdd,45,what is the viscosity of  Plextol DV 455 ,"['(6, 0)']","[""'500'""]"
4d786634b40e44b99f2549537c9f42ca,46,what is the viscosity of Ser-AD FA379  ,"['(7, 0)']","[""'20'""]"
217f14dd3dc44beca16ccdc0b84a9f7c,47,what is the viscosity of Surfaron A1408 A75  ,"['(8, 0)']","[""'150'""]"
feb5955a67f24f5b8fdfd55de3edb646,48,what is the viscosity of Ser-AD FA179  ,"['(9, 0)']","[""'20'""]"
869ce7b2b5454d4581dcebc2873c4ab7,49,what is the viscosity of  Plextol R 5530 ,"['(10, 0)']","[""'725'""]"
11fdaf4605814a3a9b8ed192c090ef16,50,what is the viscosity of XL-732   ,"['(11, 0)']","[""'500'""]"
ce933a9d79bf47bd98b90a8dd0187fe2,51,what is the viscosity of Silquest TEOS Pure  ,"['(12, 0)']","[""'5'""]"
650d9e499cd1402bb053420ca9730a2f,52,what is the density of XL-702  ,"['(0, 1)']","[""'3'""]"
693d09469a16408c8eec209140321b2b,53,what is the density of Silres MP 42E  ,"['(1, 1)']","[""'25'""]"
e7adf6ff6db34336b90304db21993ec0,54,what is the density of  Plextol DV 585 ,"['(2, 1)']","[""'108'""]"
84dda33eb06c4c6a885788e24c0e8f29,55,what is the density of Unithane IC-355 NF  ,"['(3, 1)']","[""'0'""]"
d68a80771e4b41cfba1e7d42f657e1cd,56,what is the density of Tecseal E799-35  ,"['(4, 1)']","[""'0'""]"
10d66e4087b045509add5e6c1b8fe46b,57,what is the density of XCA02  ,"['(5, 1)']","[""'2'""]"
3ff270e80c8447aeac5d42254653ff29,58,what is the density of  Plextol DV 455 ,"['(6, 1)']","[""'106'""]"
cef218949eea485a80ebfcd225c47f7d,59,what is the density of Ser-AD FA379  ,"['(7, 1)']","[""'20'""]"
7dc37c78b2d44d5aa7de800bf186253f,60,what is the density of Surfaron A1408 A75  ,"['(8, 1)']","[""'0'""]"
6054be7571c34f6c870ccd3424359ec7,61,what is the density of Ser-AD FA179  ,"['(9, 1)']","[""'20'""]"
b658730bc9bf4dad86a98f73d324a497,62,what is the density of  Plextol R 5530 ,"['(10, 1)']","[""'0'""]"
23e4de7c3645450fa9b6b874926511a7,63,what is the density of XL-732   ,"['(11, 1)']","[""'3'""]"
20fa6ce3c9ab4888a153403647fab2ff,64,what is the density of Silquest TEOS Pure  ,"['(12, 1)']","[""'0'""]"
